"Cruise","Date","Habitat","Region","Depth","Station","Deployment","Tube","Sample","Incubator","a","b","P","DO_flux","Temperature","In_situ_temperature","In_situ_DO_flux"
"OR1_1132",2016-03-09,"Slope","Dongsha",1613,"ST1","1","2","SW",6,314.32411819794,-0.190727483535422,1.84496693315265e-14,-2.05985682218256,4.90769230769231,2.67975,-1.76509989000657
"OR1_1132",2016-03-09,"Slope","Dongsha",1613,"ST1","1","8","SW",7,288.060752221627,-0.15491209491802,3.69174660713173e-08,-1.71022952789494,4.90769230769231,2.67975,-1.46550280537207
"OR1_1132",2016-03-10,"Slope","Dongsha",1022,"ST3","1","2","SW",13,311.139790328832,-0.621964904633115,0.000462806017803333,-3.58251785068674,4.33333333333333,4.38608333333333,-3.59564077114909
"OR1_1132",2016-03-10,"Slope","Dongsha",1022,"ST3","1","8","SW",14,315.398400729998,-0.46951202107684,0.00183972128785778,-2.81707212646104,4.3,4.38608333333333,-2.83393139897115
"OR1_1132",2016-03-10,"Slope","Dongsha",1022,"ST3","1","11","SW",15,257.537194040537,-0.329308016745444,0.0169539720960804,-1.97584810047266,4.3,4.38608333333333,-1.98767291718628
"OR1_1132",2016-03-10,"Slope","Dongsha",1022,"ST3","1","9","SW",16,308.848193242049,-0.529403505571395,0.00166249305581872,-3.04936419209123,4.33333333333333,4.38608333333333,-3.06053414725164
"OR1_1132",2016-03-15,"Slope","Taiping",1525,"ST5","1","8","SW",14,303.634577093195,-0.244948994514448,0.00255815574777869,-2.05757155392137,4.43333333333333,2.8653,-1.84566314607522
"OR1_1132",2016-03-15,"Slope","Taiping",1525,"ST5","1","3","SW",15,297.063661641851,-0.0105779136308418,0.946009319773869,-0.091393173770473,4.31666666666667,2.8653,-0.0826462721461977
"OR1_1132",2016-03-15,"Slope","Taiping",1525,"ST5","1","1","SW",16,269.739182923488,-0.150022669171032,0.0579614417929858,-1.18817953983458,4.3,2.8653,-1.07570526973589
"OR1_1132",2016-03-15,"Slope","Taiping",1525,"ST5","1","5","SW",17,282.617623327218,-0.125793970653924,0.229253597842274,-1.08685990644991,4.35,2.8653,-0.980572354127629
"OR1_1132",2016-03-15,"Slope","Taiping",2011,"ST5-2","1","2","SW",1,303.781985485498,-0.289485966329241,0.000283236664557356,-2.98749517251776,4.93333333333333,2.44795,-2.514720480326
"OR1_1132",2016-03-15,"Slope","Taiping",2011,"ST5-2","1","3","SW",2,319.818556533029,-0.352820283614315,0.000183843733636895,-3.72578219496717,4.81666666666667,2.44795,-3.16163685984813
"OR1_1132",2016-03-15,"Slope","Taiping",2011,"ST5-2","1","8","SW",3,323.068411129273,-0.328896111006767,0.00102897476616342,-3.31527279894821,4.86666666666667,2.44795,-2.80355217966254
"OR1_1132",2016-03-15,"Slope","Taiping",2011,"ST5-2","1","10","SW",8,311.005354068686,-0.274608275021704,0.00319040764181363,-2.83395739822398,4.78333333333333,2.44795,-2.41041196196499
"OR1_1138",2016-05-31,"Slope","Gaoping",1273,"GS5","1","8","SW",1,172.616176703763,-0.499771079250949,0.306275128408703,-2.27895612138433,9.675,3.1527,-1.45009070703275
"OR1_1138",2016-05-31,"Slope","Gaoping",1273,"GS5","1","5","SW",2,157.627790072688,-0.353882833563329,0.397713360017011,-1.78356948115918,9.575,3.1527,-1.14277186194682
"OR1_1138",2016-05-31,"Slope","Gaoping",1273,"GS5","1","2","SW",3,166.935539769604,-0.550070242734461,0.409559217199128,-2.70634559425355,9.53333333333333,3.1527,-1.73902991064974
"OR1_1138",2016-06-01,"Slope","Gaoping",1620,"GS6","1","3","SW",5,194.602929934387,-0.664813379934379,0.0803484618657131,-5.0259891523039,9.8,2.65661666666667,-3.06326297362575
"OR1_1138",2016-06-01,"Slope","Gaoping",1620,"GS6","1","1","SW",6,195.158880737747,-0.613078705364546,0.0604181114876898,-3.75204167683102,9.9,2.65661666666667,-2.2710154481548
"OR1_1138",2016-06-01,"Slope","Gaoping",1620,"GS6","1","8","SW",7,174.901420418804,-0.404158606091409,0.0245913038453562,-2.6674468002033,9.9,2.65661666666667,-1.61453774029217
"OR1_1138",2016-06-02,"Slope","Gaoping",2415,"GS7","1","4","SW",10,163.460974011449,-0.0129069414123645,0.893230534120848,-0.0805393144131548,8.08333333333333,2.36313333333333,-0.0541767252500508
"OR1_1138",2016-06-02,"Slope","Gaoping",2415,"GS7","1","8","SW",11,160.975920576169,-0.0604301560451245,0.673349146824762,-0.348077698819917,8.15,2.36313333333333,-0.233063441098309
"OR1_1138",2016-06-02,"Slope","Gaoping",2415,"GS7","1","9","SW",12,175.612701838109,-0.160697407565409,0.0471455888675539,-1.07988657883955,8,2.36313333333333,-0.730619987246376
"OR1_1151",2016-10-25,"Canyon","Gaoping",320,"GC1","2","3","SW",1,231.764818279532,-0.212155367477452,0.126557380284478,-2.13852610417272,8.35,12.1796166666667,-2.78867244071479
"OR1_1151",2016-10-25,"Canyon","Gaoping",320,"GC1","3","1","SW",2,277.008169604381,-0.113389264529043,0.3666881750779,-1.11575036296578,8.46666666666667,12.1796166666667,-1.44323804602154
"OR1_1151",2016-10-25,"Canyon","Gaoping",320,"GC1","3","5","SW",3,254.444957007084,-1.16776554949829,0.244319737203008,-12.4717360686417,8.38,12.1796166666667,-16.2295609205675
"OR1_1151",2016-10-26,"Canyon","Gaoping",483,"GC2","1","11","SW",4,214.564488643522,-0.632533307950516,0.210224049109306,-6.9831677197737,8.5,11.4529,-8.56926592705022
"OR1_1151",2016-10-26,"Canyon","Gaoping",483,"GC2","4","7","SW",5,255.271214722122,-0.196941510013781,0.0579165919853387,-2.17423427055214,8.4,11.4529,-2.68662953165439
"OR1_1151",2016-10-27,"Canyon","Gaoping",657,"GC3","1","6","SW",11,266.5,-0.802259887005645,,-6.35389830508471,7.85,9.59733333333333,-7.17199922872829
"OR1_1151",2016-10-26,"Canyon","Gaoping",1050,"GC4","1","3","SW",9,260.586741716343,-0.0606797981917639,0.924984751889002,-0.291263031320467,10,6.30191666666667,-0.225404179271872
"OR1_1151",2016-10-26,"Canyon","Gaoping",1050,"GC4","1","4","SW",10,222.06445289015,-0.305624569519741,0.0878841407149064,-1.83374741711845,6.73333333333333,6.30191666666667,-1.7797236818446
"OR1_1182",2017-11-01,"Canyon","Kaohsiung",510,"SC2","3","9","SW",7,159.20977443609,-0.605652061187454,0.0292451565989408,-2.90712989369978,8.16666666666667,8.84213333333333,-3.04647774388636
"OR1_1182",2017-11-01,"Canyon","Kaohsiung",652,"SC3","1","7","SW",4,151.524108457041,-0.57572073274703,0.214598250020262,-2.34894058960788,8.16666666666667,7.44278333333333,-2.23398870441991
"OR1_1182",2017-11-01,"Slope","Kaohsiung",279,"KS1","1","5","SW",1,234.319099200012,-0.955759744277678,0.1901256067381,-4.24357326459289,8.025,14.56,-6.6750543588942
"OR1_1182",2017-11-01,"Slope","Kaohsiung",702,"KS3","1","3","SW",3,186.986345455495,-0.429823412321249,0.188806274143367,-1.6505219033136,8.2,7.1197,-1.53144365061302
"OR1_1190",2018-03-26,"Canyon","Gaoping",321,"GC1","1","11","SW",1,165.166620028173,-0.601208757428403,0.0225651341989697,-6.20447437666111,8.01111111111111,12.55035,-8.49864525642818
"OR1_1190",2018-03-26,"Canyon","Gaoping",655,"GC3","1","12","SW",2,215.601834249184,-0.431549402599282,0.0285194984057716,-1.65714970598124,7.97142857142857,7.55346666666667,-1.60982933517613
"OR1_1190",2018-03-27,"Canyon","Gaoping",1040,"GC4","1","12","SW",3,148.492524936947,-0.384808361141288,0.0224710221504587,-2.031788146826,7.88333333333333,4.25391666666667,-1.57987269794416
"OR1_1190",2018-03-27,"Canyon","Gaoping",1374,"GC5","1","8","SW",4,193.849650487637,-0.594004105411767,0.00796247345672707,-2.56609773537883,7.91428571428571,3.18378333333333,-1.84871890472737
"OR1_1190",2018-03-28,"Canyon","Gaoping",1593,"GC6","2","10","SW",7,161.176888372193,-0.370967918063373,0.00908080499294094,-2.31483980871545,7.93333333333333,2.87641666666667,-1.63039405162008
"OR1_1190",2018-03-31,"Slope","Gaoping",275,"GS1","1","1","SW",6,178.484084890296,-0.699322345976467,0.20488345668459,-4.02809671282445,7.8,12.7102333333333,-5.66125400762353
"OR1_1190",2018-04-01,"Slope","Gaoping",687,"GS3","1","1","SW",7,220,-0.909090909090909,,-6.54545454545455,7.8,6.61966666666667,-6.03126259266264
"OR1_1190",2018-03-28,"Slope","Gaoping",1275,"GS5","1","2","SW",6,187.179666275721,-0.513751907248522,0.0282227451504333,-3.69901373218936,7.98,3.47288333333333,-2.70650112860786
"OR1_1190",2018-03-28,"Slope","Gaoping",1612,"GS6","1","7","SW",8,200.816583834809,-1.01421523841011,0.0529608737334117,-5.11164480158694,7.88333333333333,2.5916,-3.54212286708143
"OR1_1190",2018-03-31,"Canyon","Fangliao",379,"FC1","1","1","SW",12,197.861028139156,-1.54319137670078,0.148898958852165,-6.29622081693917,7.76666666666667,13.71915,-9.51190609486729
"OR1_1190",2018-03-30,"Canyon","Fangliao",664,"FC2","2","5","SW",4,160.626873134009,-0.0799251460651698,0.642245206673689,-0.748099367169989,7.8,6.70188333333333,-0.693270438228573
"OR1_1190",2018-03-30,"Canyon","Fangliao",962,"FC4","1","10","SW",10,162.98690767201,-1.09070113496805,0.0148858957937398,-4.45006063066966,7.725,4.72726666666667,-3.6151403534263
"OR1_1190",2018-03-29,"Canyon","Fangliao",1106,"FC5A","3","10","SW",9,138.745535352586,-0.255217975946693,0.0152790087827076,-1.71506479836178,7.91666666666667,3.47093333333333,-1.26023235243036
"OR1_1190",2018-03-30,"Slope","Fangliao",213,"FS1","1","10","SW",2,187.161293249955,-0.551380203606845,0.0328846473483458,-2.24963123071593,7.8,13.8970333333333,-3.43281440785883
"OR1_1190",2018-03-30,"Slope","Fangliao",400,"FS2","2","8","SW",2,184.004075869702,-0.508689440675717,0.000906156918411814,-0.976683726097377,7.76666666666667,9.23841666666667,-1.08157848848197
"OR1_1190",2018-03-29,"Slope","Fangliao",1063,"FS5C","1","9","SW",1,189.247191243364,-0.451457474829537,0.254888494813085,-3.79224278856812,7.85,4.39003333333333,-2.98360110328262
"OR1_1219",2019-04-02,"Canyon","Gaoping",305,"GC1","1","2","SW",,143.867007593735,-1.44081924719799,0.0091558013791865,-11.5841867474719,24.638,12.3757,-4.9514630048685
"OR1_1219",2019-04-02,"Canyon","Gaoping",305,"GC1","1","3","SW",,143.559932837463,-1.82930828644662,0.0254437829545483,-11.8539176961741,24.584,12.3757,-5.08575527149325
"OR1_1219",2019-04-02,"Canyon","Gaoping",305,"GC1","1","4","SW",,142.282327194988,-1.7034745730863,0.0162981103495618,-11.8561830286806,24.6326666666667,12.3757,-5.06959694976168
"OR1_1219",2019-04-02,"Slope","Gaoping",44.8,"S3","1","3","SW",,190.802874924047,-2.53802737412332,0.00197306085306799,-16.4464173843191,25.6625,25.8054833333333,-16.6102257499759
"OR1_1219",2019-04-02,"Slope","Gaoping",45.8,"S3","1","4","SW",,190.402800197988,-2.98363138875621,0.000594408467645675,-20.7660744657432,25.641,25.8054833333333,-21.0041856744915
"OR1_1219",2019-04-02,"Slope","Gaoping",46.8,"S3","1","8","SW",,188.518142472479,-2.23138039479074,0.000483939273046747,-14.9948762529938,25.5965,25.8054833333333,-15.2136671801826
"OR1_1219",2019-04-01,"Slope","Gaoping",85,"S4","1","2","SW",,180.194848845459,-1.09653311113359,0.0299589542450071,-6.05286277345744,23.6402,25.0175666666667,-6.65922511031693
"OR1_1219",2019-04-01,"Slope","Gaoping",85,"S4","2","2","SW",,185.258159175789,-1.92688942908551,0.00128865301074107,-12.7174702319643,23.4722,25.0175666666667,-14.1553594456904
"OR1_1219",2019-04-01,"Slope","Gaoping",85,"S4","2","3","SW",,182.787250568175,-0.979022414626387,0.0252734838636499,-6.81399600579965,24.0166666666667,25.0175666666667,-7.30351569565136
"OR1_1219",2019-04-01,"Slope","Gaoping",92.4,"S5","1","2","SW",,185.178115367178,-2.60918307824978,0.0401136913186865,-17.5337102858385,24.5576666666667,24.7317,-17.7465015632789
"OR1_1219",2019-04-01,"Slope","Gaoping",93,"S5","2","7","SW",,183.749273802052,-1.87582464939189,9.97277342084182e-05,-8.32866144329999,25.0304,24.7317,-8.15799514605207
"OR1_1219",2019-04-01,"Slope","Gaoping",93,"S5","2","8","SW",,185.524092723567,-2.34978885994763,0.102224300208544,-13.5347838332984,25.69,24.7317,-12.664954079705
"OR1_1219",2019-03-31,"Slope","Gaoping",27.8,"S6","1","1","SW",,182.44628578821,-1.05414194477583,0.0015368775811399,-6.83083980214736,22.4714,24.8837833333333,-8.07409908506619
"OR1_1219",2019-03-31,"Slope","Gaoping",25.8,"S6","1","10","SW",,180.558363482282,-2.74052305902938,0.0867225551627037,-20.0606287920951,23.47,24.8837833333333,-22.1260383474916
"OR1_1219",2019-03-31,"Slope","Gaoping",26.8,"S6","1","3","SW",,178.19551049428,-1.2806012701156,0.000305808606490713,-9.22032914483235,22.435,24.8837833333333,-10.926023953027
"OR1_1219",2019-03-31,"Slope","Gaoping",37.99,"S7","2","3","SW",,185.235702241924,-0.799379602292134,0.00532937333377925,-5.17997982285303,23.4748333333333,24.901,-5.71820818223163
"OR1_1219",2019-03-31,"Slope","Gaoping",36.99,"S7","2","4","SW",,187.426892211081,-1.3984925844203,0.0647261558256984,-10.7404230483479,24.64275,24.901,-10.9344133539788
"OR1_1219",2019-03-31,"Slope","Gaoping",38.99,"S7","2","5","SW",,184.626368008781,-1.52051960717651,0.0280876533967364,-13.137289406005,23.2675,24.901,-14.7122473214935
"OR1_1219",2019-04-01,"Slope","Gaoping",252,"GS1","1","5","SW",,145.434976295312,-1.45060831918923,0.0245440736302003,-13.0554748727031,24.6655,15.6428,-6.98525619321476
"OR1_1219",2019-04-01,"Slope","Gaoping",253,"GS1","1","6","SW",,146.706363229233,-0.749770529486368,0.000423752031566823,-6.65796230183895,24.6895,15.6428,-3.55638300027053
"OR1_1219",2019-04-01,"Slope","Gaoping",254,"GS1","1","7","SW",,144.403196675424,-0.912318805544777,0.00105955028574346,-8.32034750656836,24.7246,15.6428,-4.43355442286952
"OR1_1242",2019-10-18,"Canyon","Gaoping",302,"GC1","1","12","SW",,155.492149211579,-1.8546381847632,0.0354333247844441,-9.7924896155497,22.9786666666667,17.3759333333333,-6.64100856826646
"OR1_1242",2019-10-18,"Canyon","Gaoping",302,"GC1","1","3","SW",,135.12404806312,-2.30544529260001,0.0998480627708544,-12.44940458004,26.9756666666667,17.3759333333333,-6.39982078390021
"OR1_1242",2019-10-18,"Canyon","Gaoping",302,"GC1","1","6","SW",,137.80137171252,-1.64345897466974,0.127477029053568,-7.09974277057328,25.1676666666667,17.3759333333333,-4.13702427287401
"OR1_1242",2019-10-15,"Slope","Gaoping",88,"S1","2","1","SW",,186.395396708584,-2.09368368201431,0.001317971745666,-16.833216803395,26.0863333333333,24.3681833333333,-14.9432701633869
"OR1_1242",2019-10-15,"Slope","Gaoping",88,"S1","2","4","SW",,183.379341574336,-1.17497311074676,0.340593388487586,-10.5747579967209,25.8496666666667,24.3681833333333,-9.54274557947141
"OR1_1242",2019-10-15,"Slope","Gaoping",88,"S1","2","6","SW",,193.293864673936,-0.828549433119795,0.0267125684741083,-6.66153744228315,24.264,24.3681833333333,-6.70981744011416
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S2","6","12","SW",,207.161389516516,-1.39127262608655,0.0137225225649394,-14.3579335012132,21.89925,27.9797833333333,-21.8843791237193
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S2","6","6","SW",,206.819971984512,-1.03326611981763,0.0103810898020115,-10.9112902252742,21.39775,27.9797833333333,-17.2192826191248
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S2","6","7","SW",,207.359449238102,-1.14977053604165,0.0516781744652784,-12.1415768605998,21.93975,27.9797833333333,-18.4543271048352
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S3","1","2","SW",,230.041795847973,-2.58336435343176,0.13612168711594,-22.940275458474,23.641,28.1429,-31.3414671129408
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S3","1","4","SW",,224.252510281811,-1.92646828274724,0.0421207716101127,-17.5693907386548,22.3226666666667,28.1429,-26.3004502257967
"OR1_1242",2019-10-18,"Slope","Gaoping",32,"S3","1","5","SW",,232.978697964783,-2.12476144788188,0.0954974409327863,-19.3778244046828,21.9366666666667,28.1429,-29.7941675343091
"OR1_1242",2019-10-19,"Slope","Gaoping",93,"S5","1","7","SW",,194.855326913673,-1.20991536519463,0.010379170469103,-6.09797344058094,20.83375,23.6886666666667,-7.43236592677796
"OR1_1242",2019-10-19,"Slope","Gaoping",93,"S5","1","8","SW",,180.52613992771,-1.39566058160979,0.0190893528083702,-7.3690878708997,20.7945,23.6886666666667,-9.00610141480369
"OR1_1242",2019-10-19,"Slope","Gaoping",93,"S5","1","9","SW",,189.267890752859,-1.20135874815343,0.0593233689816563,-6.1990111404717,21.006,23.6886666666667,-7.46584089380017
"OR1_1242",2019-10-20,"Slope","Gaoping",36,"S6","1","11","SW",,223.896721581913,-2.44671938265868,0.00367590582891804,-22.6076870957662,22.87,27.4940166666667,-31.149630928524
"OR1_1242",2019-10-20,"Slope","Gaoping",36,"S6","1","3","SW",,219.420096234002,-1.76978479877778,0.0365538221759972,-16.1404373648533,23.123,27.4940166666667,-21.8522425149154
"OR1_1242",2019-10-20,"Slope","Gaoping",36,"S6","1","6","SW",,224.440086253976,-1.85799384924874,0.0129113655037256,-16.9449039051485,22.8275,27.4940166666667,-23.4161374926301
"OR1_1242",2019-10-21,"Slope","Gaoping",35,"S7","2","10","SW",,202.722972210657,-1.10526196501832,0.15720202019652,-10.0799891209671,21.994,27.8059666666667,-15.0805677974887
"OR1_1242",2019-10-21,"Slope","Gaoping",35,"S7","2","2","SW",,201.785395641592,-1.19608662106761,0.173806715057686,-10.6212491950804,22.2073333333333,27.8059666666667,-15.6570974685922
"OR1_1242",2019-10-21,"Slope","Gaoping",35,"S7","2","8","SW",,206.081928031534,-1.18670519826178,0.062323843816095,-10.2531329129818,22.0843333333333,27.8059666666667,-15.2438586466733
"OR1_1242",2019-10-20,"Slope","Gaoping",260,"GS1","2","11","SW",,183.115,-1.10901709401709,,-5.05711794871795,21.4175,13.47045,-2.91523144779381
"OR1_1242",2019-10-20,"Slope","Gaoping",260,"GS1","2","4","SW",,167.44809339191,-1.81403560107778,0.0409167822616713,-11.754950694984,22.2426666666667,13.47045,-6.39956975689294
"OR1_1242",2019-10-20,"Slope","Gaoping",260,"GS1","2","7","SW",,168.957756114853,-1.8612821540311,0.0528420646803899,-9.82756977328422,21.6743333333333,13.47045,-5.56524950205525
